,T152_bearing,T153_bearing,T019_bearing,T018_bearing,T156_bearing,T157_bearing,T154_bearing,T155_bearing,T013_bearing,T012_bearing,T011_bearing,T159_bearing,T017_bearing,T016_bearing,T015_bearing,T014_bearing,T151_bearing,T080_bearing,T081_bearing,T082_bearing,T083_bearing,T084_bearing,T085_bearing,T086_bearing,T088_bearing,T089_bearing,T158_bearing,T149_bearing,T148_bearing,T009Alt_bearing,T145_bearing,T144_bearing,T147_bearing,T146_bearing,T141_bearing,T143_bearing,T142_bearing,T903_bearing,T092_bearing,T091_bearing,T090_bearing,T097_bearing,T096_bearing,T095_bearing,T094_bearing,T099_bearing,T222_bearing,T138_bearing,T046_bearing,T128_bearing,T114_bearing,T027_bearing,T025_bearing,T228_bearing,T229_bearing,T900_bearing,T224_bearing,T225_bearing,T226_bearing,T227_bearing,T220_bearing,T221_bearing,T028_bearing,T223_bearing,T044_bearing,T045_bearing,T129_bearing,T047_bearing,T040_bearing,T043_bearing,T048_bearing,T049_bearing,T031_bearing,T030_bearing,T033_bearing,T035_bearing,T034_bearing,T037_bearing,T036_bearing,T039_bearing,T236_bearing,T235_bearing,T233_bearing,T232_bearing,T231_bearing,T230_bearing,T054_bearing,T051_bearing,T050_bearing,T209_bearing,T200_bearing,T206_bearing,T062_bearing,T063_bearing,T060_bearing,T061_bearing,T066_bearing,T067_bearing,T065_bearing,T069_bearing,T135_bearing,T054C_bearing,T238_bearing,T215_bearing,T212_bearing,T219_bearing,T218_bearing,T150_bearing,T115_bearing,T079_bearing,T078_bearing,T075_bearing,T074_bearing,T077_bearing,T076_bearing,T071_bearing,T070_bearing,T073_bearing,T072_bearing,T094B_bearing,T100_bearing,T103_bearing,T102_bearing,T107_bearing,T008_bearing,T009_bearing,T162_bearing,T161_bearing,T160_bearing,T001_bearing,T002_bearing,T003_bearing,T004_bearing,T005_bearing,T006_bearing,T007_bearing,T237_bearing,Trap
T152,360.0,151.639683096,187.291137461,193.789130264,13.5831930081,299.214339878,159.705545794,33.7164212488,146.490397931,171.019294061,138.688805826,336.305449592,158.38608049,156.796399144,147.713648778,156.717259985,138.189708905,319.903962128,290.410778445,308.011710194,314.492512742,330.338114207,337.816688159,349.416757277,212.878823,338.104151063,357.833104766,193.695661733,187.06503587,143.2395231,243.580470713,148.091049489,187.966820645,185.198282709,164.248271365,158.889680467,157.149294383,124.885483742,250.72846677,252.124642702,239.125508915,337.549118236,345.804334168,356.22899405,343.354682743,313.220374815,164.175038067,320.836296243,225.629491085,321.608834764,17.893508532,176.24737485,169.026471872,176.4621553,328.429040792,134.691879893,198.268475716,6.27601016618,318.518171962,323.862110222,188.788047775,324.737602385,187.978453884,152.626396824,192.629754881,206.173601061,240.018972926,214.038437034,157.760941596,234.465294461,245.551326192,222.17780604,38.2234022295,179.589688951,190.348887272,13.2482895138,275.888989537,141.941759373,47.3607402835,173.241216396,164.685566877,316.36650575,157.513167899,208.385340312,194.837594978,152.924032494,219.582850836,269.750314038,192.618782753,309.863843337,325.091135234,310.229331408,355.867781857,20.5007377233,309.188280062,328.574061637,352.4557036,14.1370363787,21.6585879479,340.161262199,1.93114410752,217.752130049,355.916232889,319.284253469,320.778900381,194.376221458,173.993019697,190.591709204,333.339641458,304.98851172,327.428368793,295.688988203,302.337757756,304.868109436,304.495755984,34.761895627,51.4275970582,310.305847496,354.128001907,344.662656032,313.048993005,316.97483553,319.155479647,319.49389041,164.194510432,152.10134811,327.782911825,346.419958685,200.130785347,173.016745302,149.835661877,165.384581654,168.418557719,154.999778985,157.328285566,165.149204149,351.760152396,T152
T153,331.669461032,360.0,227.773099337,215.579856672,353.431346877,319.740092761,209.933906513,5.83028356109,131.541295602,186.975003437,124.816853925,334.645560062,167.098617018,160.078052577,144.389371935,162.138374507,106.28011732,324.267743942,311.01256788,319.9220117,320.481279517,330.737822356,335.730551109,344.060725019,308.731571357,335.89637549,350.075762397,218.617626871,206.370307452,138.13140773,286.881151259,142.097063119,241.620043414,220.611273536,180.643155789,164.236017026,165.392505666,111.56256933,291.209958215,298.574238964,299.520413598,336.139912787,340.554634899,348.184884749,339.298239967,318.733315072,211.592493635,324.236639104,281.823718291,324.440419657,350.661546049,197.351333537,185.90367191,211.092679743,329.717112533,124.747493272,239.281045291,352.398996342,325.123136509,326.418210161,222.394203358,326.384887601,213.73216384,153.588345617,300.410224063,258.799246551,278.503511449,309.414231512,330.979904603,315.704625301,297.080208157,278.257565078,1.01623178651,284.395118784,271.323570381,354.510512556,319.177684147,117.923667989,341.621289975,260.673292689,175.106212692,322.82448236,161.33766516,265.959076961,221.559149639,314.426247017,261.545513917,308.435904543,256.746768977,316.353111085,326.794214094,316.495717989,341.164763332,342.698901735,324.030186679,330.354737061,342.436930126,355.613963635,357.208350814,336.279217634,353.727553493,259.278954932,345.529945797,322.390945569,323.491701757,227.249003569,209.007646304,212.520004382,332.916388988,313.861818467,329.370102928,309.73202569,320.431692908,314.821270122,316.328241724,5.27034400194,14.0526434601,318.488442263,344.842694666,340.172128847,318.097811165,320.852314111,323.633271165,323.331189873,172.822105785,152.515932576,329.084507238,341.297471057,274.934318821,203.502536811,147.603639817,182.444843083,189.600450003,161.497179363,161.923401531,175.909630023,343.901884206,T153
T019,7.27923715383,47.7313839125,360.0,204.031384454,9.90893798183,349.584485247,52.1473426829,19.0111066977,67.9747193423,138.972997887,87.1119137693,350.495891398,100.411528636,126.279675931,104.435045927,107.019383612,66.1162097261,341.948125702,337.720816175,344.263703074,337.73224409,343.941354728,350.679872876,356.460669899,358.85780394,350.959490425,1.51700052325,207.107437013,186.706584791,109.164953043,324.555782755,82.2899596317,3.98189986675,160.057345534,104.55363369,124.289862168,93.1540467046,92.5606446936,326.81943356,337.152884679,343.983402792,347.105797229,355.91111874,0.916248061853,353.984791701,333.822708772,55.3414200672,339.378366359,330.888444794,338.072414681,10.6881891039,147.434375201,126.989266234,95.867136102,347.482182433,99.8051675304,277.394759354,6.77569371951,348.096005137,341.864335195,199.263136026,337.776874799,189.872232047,106.81900006,4.23647966024,319.870027074,312.265950254,358.858778749,9.31396217739,358.402464273,338.314958862,329.025159664,18.0384574433,15.0788926819,2.93154317897,9.93833916682,355.310311139,68.2540618263,11.5303941915,28.958132362,129.760637137,342.984177601,126.549148377,328.756414382,212.754820536,43.228764854,299.461240771,343.386473006,354.15272576,331.644820603,339.119921374,331.503590738,3.83072486618,9.54711297544,353.281407268,354.566946673,1.09764940035,10.429418591,13.1656880468,355.358203958,3.86588718324,296.635762026,1.93792368183,334.790630097,335.706502385,225.87377055,86.0219672895,196.380206494,345.145108101,331.240227478,349.607563689,330.843507413,349.373511382,334.04018861,338.421042439,19.020722894,25.9068385305,337.666943767,0.898467970675,354.673787188,331.886049549,334.022863015,340.835772255,338.647363753,134.686506461,110.662011683,344.403877942,355.693001604,350.807081859,98.333945275,93.6124680734,108.112152328,109.145996623,82.3910894987,118.841121047,130.595893842,359.391117041,T019
T018,13.7529559158,35.5138351578,24.0070929992,360.0,13.6896987841,1.31193659626,36.1460183539,20.3214876577,46.5304100264,73.2397863329,62.6162536299,358.08286029,59.7497144828,90.5638317175,73.2237768248,66.720404306,47.4949619207,351.862207954,352.303895455,356.066337658,348.303636899,351.586693239,357.926946107,1.92494275964,10.1806778169,358.196721226,5.93057316621,14.61710217,110.223080881,83.0814486367,349.705268544,54.5120783056,19.8125197404,29.9475907371,56.2004525689,83.4639252706,56.0271722846,75.1608052524,349.687265186,356.188758914,1.42371231453,353.322198256,2.34856493585,5.76592775397,0.569544302615,344.028209801,36.2888785546,348.64823114,357.272390395,346.810797671,14.6833977048,62.5387969993,64.6892905509,38.5990647143,356.307345436,78.0434748021,6.25253089482,10.9136448835,358.446434943,350.84101685,25.394214833,345.369373754,41.1557334583,70.9562480766,14.0893181795,2.06749938493,342.514018344,10.1060964757,15.2138801112,9.06352635117,357.649672272,357.424957012,19.8050775942,20.0605399243,15.711615878,13.5731744544,6.26679438206,47.902470811,16.0786417076,25.9547744936,78.9478387478,353.650190206,89.6666580291,2.57176399609,7.18744301762,33.3218452661,345.830413874,358.64446282,14.6838087275,342.349055687,347.03348715,342.069334476,9.99597384387,14.5173660376,3.68476350025,3.51697246726,7.25494161884,13.8729872191,16.1152383267,2.90144983457,7.58820320519,345.949483402,7.45316113815,343.342538799,344.027554025,12.1070933428,39.2870851296,70.8522511317,352.181951306,343.199614687,358.773095326,344.904812673,0.952299833767,346.352060379,350.964418476,20.358721726,25.3533593657,349.137814019,6.55019589483,1.08130760683,341.675262802,343.125128087,350.770168861,348.127522334,88.5642610092,75.6965095113,352.882019423,1.89125996812,10.2446030864,43.2546418036,61.5905162509,56.9268467055,53.3224625887,51.1574127965,78.6091449525,79.0022057582,5.20738848482,T018
T156,193.599027414,173.417434081,189.936680265,193.74170724,360.0,225.436502639,176.401322509,96.4964698311,167.390069151,178.615415885,158.093528166,300.619714422,171.603853291,167.412798748,162.554727601,169.728585694,162.538101123,280.89144934,239.817709971,247.124453621,279.511522851,307.360646062,306.853100943,330.81234627,198.720412058,306.492537844,345.165307411,193.674452532,189.05456103,157.330949587,218.002110295,166.256094368,190.58780527,188.567056859,175.475865993,169.623255156,171.349463247,142.378581736,221.051563673,217.2517151,209.805559434,321.771007286,311.286241061,338.44357576,313.302250316,285.957958734,178.219001019,291.955476189,208.347976578,297.746261157,185.302399007,182.324539202,177.742649287,183.569104971,284.607845354,150.896428386,196.346580855,347.719626887,251.878570914,293.191980129,190.656263042,307.184471222,189.930313784,166.433236557,193.278269862,200.250463977,219.025733808,198.906240603,190.660187977,201.666977006,214.180868839,207.133668569,148.667032398,187.809268349,192.142970732,10.5375961228,209.243815352,164.500342856,187.045210817,184.079927268,174.074734629,267.602275452,168.052041021,201.019291205,194.427556982,174.768355509,208.371097576,220.178818912,193.117112631,282.645230752,304.998663817,283.756531032,216.971825635,190.787587504,222.485533994,237.922989294,272.474543705,17.1120728338,120.550005521,275.582506201,354.075764929,207.45904156,308.64327447,299.136937153,301.080812247,194.094138628,182.27304575,191.548474445,313.592913792,272.937918813,268.028344082,257.130590584,227.893503533,267.101701356,256.699817233,107.462935503,119.840212493,269.842621357,311.938349351,315.623426562,289.58198567,294.850838916,282.58142612,290.248691581,173.156216467,165.444374227,296.80792109,318.008244118,196.521525223,181.430293412,165.961363143,176.074541946,178.124294594,170.899133829,168.918662009,174.391487503,315.596557938,T156
T157,119.182023698,139.677985086,169.564034352,181.315735906,45.3883782412,360.0,145.833398311,58.9720862313,138.165156579,160.353864977,134.038516332,351.702700824,148.818804648,150.022109799,141.69170253,148.175752176,132.400193593,330.130506929,278.253372247,320.530498997,321.286530797,338.927488133,351.972961814,2.7542736263,153.848733938,352.618049397,11.7901509353,180.023048895,175.56337608,138.848186428,208.493941192,140.333278278,167.232585647,168.931426305,153.153754643,151.197769678,147.430219409,123.863431661,214.716127421,201.226796197,180.937341621,345.410592261,4.391285287,12.4131480769,359.263212699,317.803103128,149.473253721,328.307868918,188.664214439,327.903621771,62.0933626009,164.118420339,158.003016366,161.29398927,343.938008495,131.826062469,178.722780368,29.8735872049,342.47911416,332.914083726,172.624820312,330.028448402,174.199349083,145.33198199,154.178077365,180.612090505,212.74011545,153.352516585,124.57617699,147.272521245,193.820513166,187.59589776,71.059715093,153.544018406,162.767360495,41.7435782505,141.762758665,135.091727857,103.681714091,152.933070359,155.52484357,328.475091429,150.52949395,179.887671118,180.465893597,139.934148349,195.497204488,201.754480254,168.096479925,313.363042929,331.239557921,313.72424054,52.5173230204,89.5980894415,70.1557108285,19.3017600942,25.8178446498,41.0376844957,52.9191404104,7.98157868469,14.4750580497,194.347399311,22.1257096503,323.980405056,325.727613163,177.927941169,159.031314358,178.09144669,341.630043522,307.382192646,349.64355732,293.476685273,341.813035407,307.87785924,308.867186683,61.1974018659,73.6906405189,316.574060544,18.4212814053,0.684616348305,316.846066978,321.550084585,328.290602815,326.616357835,155.778087382,145.287286828,338.317104087,2.89907541888,168.824658387,158.906494143,142.369364107,154.177692036,156.311812256,145.146545427,149.612595646,155.904973589,13.3076564995,T157
T154,339.72961425,29.9281904056,232.183344136,216.20632513,356.409528188,325.889801111,360.0,7.90421350081,101.586805573,183.05491382,113.59029163,337.641835966,156.183526606,154.635148974,135.74806492,152.756095684,86.0908838365,327.70401039,316.365629942,324.798707819,323.845825339,333.219421367,338.531898422,346.276147284,319.954664914,338.720106275,352.042910036,219.731524532,205.951271005,131.83637874,294.032820923,124.102907894,251.000217401,223.104999475,172.377022657,158.186204589,152.086466379,106.331705131,298.092824988,306.253660622,308.553304761,338.139984904,343.405272728,350.426430225,342.018743895,321.66833254,214.280414165,327.150920591,290.782222255,327.049404605,354.504470079,195.020303187,180.979505827,211.467087025,333.145957155,118.513802005,244.662344855,354.93191814,329.703600889,329.381693832,224.858289944,328.537562778,214.31237468,144.559503251,315.224625456,267.434537231,284.794908972,320.485345268,339.925819908,325.169618464,305.275081,287.271627114,4.0261810686,306.376038378,287.688277298,357.243664937,326.925603133,94.4189450099,348.185574985,289.874535424,169.691767941,326.789510802,155.842640026,275.621955387,223.120771982,11.0997879483,267.953428151,315.584292484,269.173467435,319.341670177,329.128026814,319.42676564,345.687968319,348.357198634,330.092163569,335.233835048,345.998020969,358.20091275,0.0248984630732,339.964539749,355.405777329,265.543629427,348.566376782,324.76808008,325.825267117,230.132722487,208.650034671,212.828382976,335.188377407,317.281350893,333.336250907,313.918001841,326.372809346,318.610847464,320.712943917,7.47314452224,15.6410203136,322.258616103,347.808233112,342.847493019,320.776666733,323.391786353,326.973138491,326.286094289,168.002158614,144.556902651,332.005977446,343.941774022,288.252399505,201.31772852,134.813981803,175.040988609,183.831225609,142.593356084,155.026219848,170.612041186,346.753767908,T154
T155,213.758188578,185.842318314,199.064808553,200.399471807,276.522383704,239.046139496,187.921958353,360.0,178.158968049,186.289370286,166.613394605,294.157441827,180.402586333,174.108290763,170.191125277,178.005178229,173.445035884,279.896908183,248.091584972,254.988304273,278.917732452,301.948678988,299.295715728,319.059883242,213.551974551,298.87456528,330.517128866,200.802827555,195.737999306,163.835254851,227.513137608,175.846798054,200.654650765,197.364580519,184.333293407,176.811083951,180.515643896,148.007944636,230.527796942,228.418566975,222.283505893,315.349049868,300.347208758,322.028298614,303.324110736,284.383915316,189.249637696,289.057515565,218.927233548,294.291531511,234.342369623,190.219028329,185.86825486,192.87946061,282.410423339,157.234588545,205.109396629,312.771228945,259.285786587,289.806539997,199.083873414,303.212978768,197.509952448,174.369922353,207.210068684,209.981088059,227.381213967,213.835734861,209.928610843,217.622696492,225.658417948,217.536343349,204.535263269,200.635168374,203.8936987,294.467798397,225.467883912,175.222330068,211.236730785,196.008632003,181.56935436,269.912939575,174.831050947,211.232127656,201.740348723,187.555453348,216.925590876,232.404403422,203.80075041,281.657770852,300.829283593,282.608776875,243.838576763,218.310028931,237.994795286,251.390830856,274.567826728,304.081959036,263.829312016,275.963337513,340.462424124,215.959087675,293.130158871,296.019033218,297.709955621,202.171030824,191.810893384,198.420071884,307.613061833,273.60711804,270.7281493,260.955283165,241.112204352,269.029715135,261.338708678,198.755452297,146.608432282,271.328146675,296.495548108,304.975199248,287.648563282,292.174568991,281.263639339,287.682789814,180.185153462,172.996802168,292.45620841,306.424580859,208.06470386,190.692935499,174.734230947,184.82473346,186.964478289,180.654450754,176.373071047,181.883145058,300.915095026,T155
T013,326.536472205,311.557597026,248.032749399,226.61275956,347.420264197,318.243562472,281.608825751,358.163211997,360.0,202.765113267,120.877076037,332.127141872,189.28029952,167.481966037,149.709801616,177.523114599,56.587202997,322.837889323,311.111450453,318.672404838,319.526266465,329.053460674,333.225375018,341.063183631,309.542010745,333.350396748,346.58453826,231.061361827,217.767373008,139.922283217,291.567430053,156.475439479,262.516278059,240.722722115,206.277207783,174.197414819,192.163103766,107.397545227,294.962543257,301.221371831,302.317351714,334.281309569,337.317837324,344.542651671,336.381793823,318.067421136,267.125699864,323.013331991,288.569973288,323.318506116,343.911128424,214.68752654,204.725989412,237.899528853,327.579713367,123.005529441,254.53456257,347.4738827,323.126437134,324.934959962,239.972294033,325.291536769,228.377049708,163.638396249,304.152424266,271.424883382,284.214651047,310.027438116,325.614082793,314.651322452,300.177483897,285.880713674,352.417054967,295.699897185,285.352819459,348.696774585,317.489141445,70.8110812237,334.361899165,285.313598749,188.582026005,321.395753706,169.245393139,277.339277559,234.41130725,312.044571036,270.942286083,309.064980955,273.743067368,315.911344883,325.576328271,316.048385567,336.060593998,335.996189247,321.700375788,327.28782456,338.085897963,349.817627052,350.453103334,332.952209666,350.213211171,269.079149036,341.213220986,321.541844513,322.564215578,242.306408655,238.988603139,224.409892518,331.154013984,313.631341592,326.981564987,309.974951904,318.848108396,314.453039094,315.700143507,357.379127036,4.25306106516,317.677820844,340.749017904,337.178116525,317.544589382,320.086425082,322.316878512,322.188896,183.70812041,160.611797859,327.317275563,338.174428131,286.056852129,231.882255684,159.319121777,206.927727891,215.170807701,199.823454898,172.459580389,189.490440428,340.12029966,T013
T012,351.039894873,6.96579651694,319.005536569,253.296645389,358.620145175,340.406823733,3.05142667545,6.26813052285,22.7395902103,360.0,53.7996924305,344.343582148,35.9562033004,112.836218843,73.2631007113,55.1092616386,27.8326558544,337.162493292,332.438211984,337.63031016,333.904838147,339.768636898,344.748385165,350.205758111,342.841345505,344.936797778,354.619131385,267.0767303,239.495533619,90.6590378474,322.436948615,34.705497874,329.519417398,315.055300531,17.9728011345,102.048866989,29.8971288706,76.1180011503,323.994319403,330.520086544,334.210150333,343.009212292,348.727184822,353.592842665,347.442705564,331.097420277,359.529353688,335.610977456,325.549100129,334.831326117,357.725155928,295.568022202,13.1317794408,337.49430711,341.480297115,81.0332716739,308.185801134,357.310159382,340.747395994,337.560178348,303.751610242,335.02005355,276.057652728,67.7739868517,343.889997463,319.365128808,314.895608345,342.960261501,351.704138651,343.879822287,330.962534552,324.342197605,3.65036461109,346.263494999,338.179426108,359.100295717,343.099891141,26.9516030855,355.120290831,349.228785578,100.409009367,337.472704609,112.400485585,323.321310274,273.96712272,4.40524194282,309.117067659,335.213790473,331.415740743,329.294938686,335.962517284,329.214942123,352.180977091,354.733788395,343.122463399,345.194077039,351.523982939,359.722748763,1.05844724911,347.149360991,357.093188326,307.962704867,352.930582242,332.314231369,333.116154477,294.437856743,344.251360634,253.766159049,341.01475243,328.719612673,342.508943071,328.002051336,340.435582394,330.696817017,333.645924566,5.94384741543,11.0191372529,333.532901316,352.285305457,348.045433548,329.684971438,331.548787741,336.378377155,334.984723771,126.398542143,79.0114258295,339.633322716,348.881541093,333.686339228,345.486886544,47.4552948316,16.0535595088,1.85995488419,23.8040087029,88.2190068824,102.193013502,351.353232551,T012
