,T152_dist,T153_dist,T019_dist,T018_dist,T156_dist,T157_dist,T154_dist,T155_dist,T013_dist,T012_dist,T011_dist,T159_dist,T017_dist,T016_dist,T015_dist,T014_dist,T151_dist,T080_dist,T081_dist,T082_dist,T083_dist,T084_dist,T085_dist,T086_dist,T088_dist,T089_dist,T158_dist,T149_dist,T148_dist,T009Alt_dist,T145_dist,T144_dist,T147_dist,T146_dist,T141_dist,T143_dist,T142_dist,T903_dist,T092_dist,T091_dist,T090_dist,T097_dist,T096_dist,T095_dist,T094_dist,T099_dist,T222_dist,T138_dist,T046_dist,T128_dist,T114_dist,T027_dist,T025_dist,T228_dist,T229_dist,T900_dist,T224_dist,T225_dist,T226_dist,T227_dist,T220_dist,T221_dist,T028_dist,T223_dist,T044_dist,T045_dist,T129_dist,T047_dist,T040_dist,T043_dist,T048_dist,T049_dist,T031_dist,T030_dist,T033_dist,T035_dist,T034_dist,T037_dist,T036_dist,T039_dist,T236_dist,T235_dist,T233_dist,T232_dist,T231_dist,T230_dist,T054_dist,T051_dist,T050_dist,T209_dist,T200_dist,T206_dist,T062_dist,T063_dist,T060_dist,T061_dist,T066_dist,T067_dist,T065_dist,T069_dist,T135_dist,T054C_dist,T238_dist,T215_dist,T212_dist,T219_dist,T218_dist,T150_dist,T115_dist,T079_dist,T078_dist,T075_dist,T074_dist,T077_dist,T076_dist,T071_dist,T070_dist,T073_dist,T072_dist,T094B_dist,T100_dist,T103_dist,T102_dist,T107_dist,T008_dist,T009_dist,T162_dist,T161_dist,T160_dist,T001_dist,T002_dist,T003_dist,T004_dist,T005_dist,T006_dist,T007_dist,T237_dist,Trap
T152,0.0,7.7789591753,11.6309229229,18.8142603844,8.37727810019,4.5981716779,8.60994383221,9.34909267616,10.3544037287,16.3627596315,14.6163301456,13.7351450316,13.6977131308,20.0207343833,16.8310865893,15.0287851068,10.4666011288,13.2924223981,7.82017022214,7.7055888371,14.573568589,19.6525294278,14.9649348491,17.8454310495,3.04928100007,14.7281930577,18.1920779668,16.9823806631,19.1991898625,20.3070388303,7.99874723291,12.3205610563,9.657964196,12.5270576714,13.3625725949,18.2398923216,12.908239765,21.6822017648,7.78488318323,5.86763844138,4.76525577801,24.2452901543,13.0937913394,15.7949313686,14.5348888405,18.2742390389,9.1442108901,17.1643278616,7.15965004991,20.0887357047,5.53618610138,15.4595913843,15.0828112676,11.7858460491,12.0970356161,20.3137571016,11.8435570604,11.4856630701,7.75872046104,16.1970047762,13.265436512,25.4795882667,15.8140965487,15.9945174591,4.2399850497,9.35616377461,10.0140470131,2.96085086537,0.79009576159,2.16671560772,5.6463641705,7.53100931827,6.31082031805,5.9107177615,6.8455546466,9.40668756068,2.45771900229,10.6021337996,1.47587017973,7.36206564049,17.1308708192,10.7053898371,19.7083112431,8.40220050012,16.2416294915,7.25712362644,10.944748427,4.91737549656,8.34845106138,18.3123663397,22.7204705675,18.7927198967,5.05450448429,2.42952232912,4.05033406138,5.85113597758,8.34690853005,9.94544336586,8.10975069119,9.18414744364,20.4783135189,11.1870866015,10.3322622082,23.4468760724,23.7214514344,13.8785541662,11.4146883314,18.1873435318,21.4911056715,15.5085766851,9.37358251531,12.0220484037,4.89544608465,13.1094720709,10.0795056922,8.75380642464,8.64727909879,12.5343700621,10.9798220741,14.6368684425,20.9268583988,21.82528143,14.056564859,17.0350163928,18.7471099044,17.0921739236,15.8509540242,14.5305853148,6.7414539835,12.0572023333,13.9650043178,13.5781146977,13.2402924659,11.7811238275,17.3747219977,17.129531956,12.041498539,T152
T153,7.7789591753,0.0,6.97678620202,14.0444904153,15.0882210122,11.9163052956,1.41908411168,14.6970921916,2.69795152212,9.38572577479,7.24510005959,21.4981597387,6.0425166341,12.2938337554,9.08527498886,7.31328111434,3.41643880214,20.966817199,14.5960757488,15.1543734222,22.1229410035,27.4298021519,22.7148781478,25.3660310709,6.85221249268,22.4755002103,25.4068292504,12.3510127025,13.6224797527,12.6604661503,11.3365211196,4.5813737755,5.71581916272,7.41324277945,6.0158018262,10.5695052676,5.21928088661,15.1364491428,11.8348209482,10.5563548216,8.93793156971,31.9940311766,20.7250196582,23.0978657145,22.2091864509,25.7679726281,2.29128102705,24.8461632765,8.99544346851,27.7796068953,12.2774567419,8.98878229127,8.00373657699,5.74137733682,19.8681835613,13.065508294,8.60850140991,18.4253048612,15.4348222928,23.9262377904,8.47829175072,33.2134579959,10.596677442,8.21794003879,5.354379908,7.96625511218,12.4946376987,6.92139063266,6.99383099201,7.80840618705,9.91349523468,8.83485945952,11.80486774,3.76756011751,4.92143740229,16.0761796626,9.38322306685,3.21191313326,8.26812244214,2.86381688413,9.71309942636,18.3226662377,11.997339118,7.70125820774,11.8281526726,0.548213800198,10.7758646448,10.9844395326,5.66450058409,25.6936357316,30.4600305625,26.184076468,12.5614378613,9.55474751804,11.6246610695,13.6251445617,15.8618471503,16.5386436307,14.3999651674,16.917143615,27.4780480966,10.7213651822,17.7156076147,31.0868883049,31.3923799283,9.71539540812,5.15164970613,13.0792762792,29.2678583194,22.7249680416,17.140672925,18.8740246126,12.2822893398,20.3538064563,17.3646958452,14.0957337531,12.612788714,19.9783938862,18.4104937099,22.2860218958,28.4034759539,29.4129891078,21.7148185951,24.6917927516,11.2821603908,9.31375050015,23.6174860545,22.1425615591,6.03184878619,5.58457129141,6.19448678776,6.29902786599,6.21187347546,4.04157918001,9.66546616331,9.73720078183,19.5311663764,T153
T019,11.6309229229,6.97678620202,0.0,7.37502258628,19.9785854146,14.0114903468,5.64236561922,20.4290796345,7.74616761548,6.12997496719,11.121099898,24.4489129831,6.62005940127,11.597321632,10.7900685146,7.74358261568,9.23052149767,22.8272983374,15.4135948387,16.9151760151,23.5010485677,29.7742635108,25.7329538029,29.1339362991,8.97777417863,25.5188006056,29.726528052,5.57563816294,7.56851143246,14.4055217939,9.79123405367,8.04817016955,1.97692677607,0.998461467749,5.26425123145,9.72211623293,6.48805744562,19.2498700066,10.7130536341,10.5637549245,9.45814686742,34.8209891426,24.2923078145,27.3011915093,25.6031107585,26.7972319616,4.81824019643,26.5439633533,7.47350550814,29.4073541245,17.1026441066,4.61457648181,5.43366321087,2.21137883465,22.3743186965,16.1268440033,2.25160110203,23.1157178792,17.7299745683,25.9026912219,1.66622857183,34.9335692828,4.18628290698,9.20984654115,7.41987248902,4.1061875237,9.7108099518,9.08509557775,10.9502870856,10.2815267436,9.89982973637,6.94566439981,17.3484955167,5.82726662902,4.80902885841,21.0092307007,11.8284410512,8.61174706692,12.7953583731,4.83038500413,7.79329340292,20.1666913691,11.2022796417,4.84735990166,4.95098193168,6.96668068162,6.30409214096,12.0163540912,3.40773872751,26.4446747515,32.2870470266,26.9346660465,16.6155947572,14.0070173383,14.1932880983,16.6040043891,19.8152463409,21.537756786,19.5899120907,20.2420102912,32.076995793,6.00133307586,21.8555588759,32.3906515472,32.8173254655,2.73970821184,2.67273948196,6.60923840612,31.8043552122,23.301740465,19.7595824324,19.176075516,14.4019339834,21.1650141188,18.5436295458,19.8114043198,18.8216555831,21.2361876581,22.4619216573,25.7631967239,29.273028486,30.5789752605,23.4695293375,26.2919901806,9.24320712474,10.1084844417,25.8994767348,25.7334993212,5.27483598084,2.96857001777,8.49634458678,5.14945128008,4.36918710903,6.50181972441,9.31538873352,7.71338584394,23.4553410961,T019
T018,18.8142603844,14.0444904153,7.37502258628,0.0,27.1915175666,20.521971091,12.6328995016,27.7839477147,14.0195445409,7.33196534775,15.8758955234,30.865938327,11.0037405146,12.3412717619,14.0374639538,11.3194929854,15.5077613386,28.7269769738,21.1883640505,23.0706543512,29.0856376425,35.7305282273,32.1495763251,35.8348755905,15.9643147343,31.9529687981,36.6496414778,1.83209357001,2.2565885131,16.7164304097,14.9520766579,13.4706988735,9.25722493283,6.69211872775,9.73661202668,11.0974053715,11.4223606509,22.9792726254,15.9586626367,16.5067831049,15.8318282023,40.9545446393,30.9928220929,34.2080009605,32.1996457966,32.0167071386,11.7596492451,32.2063419295,13.2799611748,34.9338167664,24.3392053449,6.17816441557,8.11560271516,8.33227312995,28.6369005508,19.2952872205,7.06793671471,30.2393864939,24.093040243,31.7543931852,5.71617719845,40.3794293733,3.46973922985,12.4916963893,14.5753410248,9.88188572039,13.9079081724,16.0695907357,18.1809045551,17.2295790134,15.9481241732,12.7035275571,24.6958542307,13.1628969263,11.9877875644,28.2207211143,18.6368445166,14.8136782416,20.0599561771,12.1944291036,9.15551786628,26.1790280724,11.9914759416,10.8912989127,2.59254028259,14.1397685513,10.1439174049,18.2554340782,10.4688258763,31.4858979488,37.8643798821,31.955130806,23.6753802369,21.2288425852,20.8753174746,23.309692063,26.763079676,28.7595423095,26.8697684769,26.9465153974,39.0842349915,9.71595635567,28.8239429074,37.615405674,38.114118675,4.93856256494,8.94540938235,1.20509760722,37.8265951677,28.3705770557,26.1769726237,24.3185353834,20.893752424,26.5111915813,24.2793809218,27.1665024152,26.19355854,26.8581172224,29.3881914236,32.3937636089,34.2891915398,35.7607546495,29.2817867878,31.9026964177,9.56887510857,12.8480983989,31.9260315884,32.4147135864,12.1372750656,8.66110801507,13.042652407,9.4157589189,8.88282061338,12.1187671026,11.3767686797,9.01747632701,30.3160801092,T018
T156,8.37727810019,15.0882210122,19.9785854146,27.1915175666,0.0,8.40394617162,16.2507513264,3.24659045296,17.1921277899,24.3123949448,20.6122558012,8.71011534757,21.1045998526,27.1996037875,23.4524510675,22.3064697532,16.716027699,10.734113735,10.7669606755,8.73474784289,12.5500685749,14.7282568785,9.53102665096,10.76753234,11.3006617346,9.28985859191,10.382915447,25.3596552411,27.5383363394,26.4586816812,14.8471808838,19.1513679615,18.0134891509,20.8502847461,21.0698434318,25.5783722065,20.2695926031,25.9426969003,14.2016729288,12.4901141866,12.2005445695,18.1629717234,6.89948145516,8.19154686974,8.43417499813,15.9151407969,16.9489376298,13.8246697483,14.9392242588,16.3382148885,2.88684837348,23.5885565491,22.9680651674,19.9446913479,8.5880162224,25.6745801514,20.2047512274,3.35072874141,7.48614629019,12.5463639712,21.6244934449,20.9571630764,24.16486572,22.989495322,12.6168540937,17.6276673439,16.9195379131,11.1997321207,9.02966435346,10.1159568562,12.6656653963,15.4189139985,3.72962225301,14.1845480645,15.2167351396,1.03070456868,9.04199208587,17.1146086379,7.19733843761,15.4928255706,24.7987333061,9.37354165978,26.9379287038,16.6405891791,24.617685299,14.6662022478,18.8383528921,10.6834013183,16.7250987222,16.4405752255,18.2952970588,16.8160732664,3.88137925473,5.97254940349,7.56970699224,5.92913016859,3.06971549834,1.57067880362,1.19233002579,5.11439328174,12.3902438021,19.142342235,3.46503709391,19.7854188205,19.8335789063,22.255385414,19.5101149204,26.5565795094,16.0492814748,14.7092354901,7.02594341299,13.1461207332,8.2364922845,12.7542550824,10.5699236841,3.17338776288,5.53211075471,11.539423627,4.15976677234,8.35838531631,18.3406867734,18.6008951126,11.4482371096,13.9065321377,26.3700461497,24.0212834386,11.685931574,8.04970730708,15.0946044147,20.1168532832,20.8407996565,21.3321604169,21.1252006696,19.0610559225,24.6357519992,24.8197983959,5.2842740913,T156
T157,4.5981716779,11.9163052956,14.0114903468,20.521971091,8.40394617162,0.0,12.4675787842,10.7428278286,14.5921829479,19.5402188261,19.0110695269,10.4414645258,17.5022056357,23.8263363575,20.9838373236,18.8821241002,14.8885284645,9.134881061,3.35166735573,3.23830036893,10.2085075847,15.8925985841,11.7269492236,15.3157062171,5.35161114716,11.5160999333,16.2801465884,18.7437967123,21.3607569816,24.5747281927,6.60510399792,16.4946741436,12.1068476085,14.9971533668,16.9248532649,21.9723160147,16.7719909475,26.2606304059,5.85840617295,4.34070693823,4.6902732552,20.8321753927,10.480912045,13.8417215106,11.6824393163,13.8556165788,12.8144099524,12.9984467383,7.33531185139,15.9313196344,6.4682558304,18.3690320537,18.3858262359,14.7860232618,8.38847091774,24.7729574089,13.4940707047,10.5815366294,3.74123309503,12.1678267142,15.4809262697,21.4184368079,17.9964125968,19.9904904962,7.08759871066,10.6417384269,8.62058169683,5.25461345896,5.23902973715,4.16318290509,4.71841249342,7.89510183697,8.37385049036,9.10617104461,9.39880310872,9.26853393982,2.53511350078,14.9473303931,5.24954787177,10.7273183908,20.6144016028,6.45468533763,23.4865185324,9.63628203183,17.9450066259,11.3705064375,11.0840799098,2.43998034589,10.618157353,13.8179612976,18.6883081819,14.3045928926,4.59992893661,4.86580282313,0.929443628659,2.912867201,6.70089499583,9.8154853786,8.7850681415,6.45788045802,18.8225585538,11.4481846726,8.70462020626,19.1898605918,19.5152803189,15.6981778929,14.5573847129,20.132525909,17.8693808784,10.9427222634,5.74809368513,7.43839511234,0.393964432031,8.54502870017,5.51664919513,10.2789125053,11.2291686095,8.06964215152,9.14834587278,11.8722416837,16.4965577543,17.4998873798,9.85797624896,12.8192185124,22.2349199713,21.0982605501,12.0137421143,11.8956493026,8.73862321118,15.229387105,18.071553774,17.0847330607,16.6107554389,15.7399895114,21.1799655092,20.5909634336,9.94115339248,T157
T154,8.60994383221,1.41908411168,5.64236561922,12.6328995016,16.2507513264,12.4675787842,0.0,16.0031060887,2.78373678929,8.09803469738,7.26193792618,22.3353918241,5.09375839434,11.429717268,8.59426153962,6.44576123115,3.99617883001,21.5882691293,14.9318634496,15.6945682716,22.6575677616,28.1807685929,23.5716861806,26.37288282,7.20614387425,23.3358298868,26.5113202796,10.9500542721,12.2065328719,12.2896558887,11.1004101646,4.25342179145,4.56890520467,6.02428128976,4.82824835412,9.63148654182,4.32362283206,15.4042768158,11.7018763364,10.6161854465,9.03836810505,32.8503137301,21.6747954993,24.1745635807,23.1342105557,26.2566446205,0.873749920904,25.4606128818,8.65841038476,28.3948653895,13.4060151507,7.61016356796,6.73250133024,4.32266667175,20.6083489092,13.0211362394,7.40350811633,19.5695227166,16.0887149425,24.5897277921,7.09898124252,33.8663048398,9.18111288855,7.52400819116,5.54987833023,7.11229221349,12.0465303531,7.28987951525,7.82036026325,8.30626368208,9.94275009679,8.41311253648,13.0651267744,3.65232725899,4.42024371501,17.2521079585,9.94066307593,3.5560376782,9.27241154573,2.25157241891,8.58634615867,18.9180254028,11.1091818662,7.00648244263,10.4417698843,1.64431624526,9.95526577139,11.2803620618,4.80517774299,26.1270311338,31.1241688859,26.620096242,13.5384113988,10.5694814532,12.2715355428,14.3948162519,16.852561233,17.7286732599,15.6126587377,17.7939793975,28.6351121229,9.85418418531,18.7552476453,31.6528347708,31.9827863901,8.37083878597,3.73282956974,11.6617498154,30.0619025599,23.104640892,17.8795115415,19.1639249427,12.8468833409,20.761141239,17.8152070463,15.3969047016,13.9832864325,20.4718882738,19.4377889288,23.2269760252,28.8739459127,29.9457346065,22.320888644,25.286365363,10.1862644172,8.63186865722,24.3383712987,23.1039851968,5.58126818709,4.17748869395,5.67560294758,5.08249459387,4.90609080355,3.27651773101,8.77908782146,8.59763011659,20.5411383042,T154
T155,9.34909267616,14.6970921916,20.4290796345,27.7839477147,3.24659045296,10.7428278286,16.0031060887,0.0,16.4188253613,24.0817168265,19.2825351899,11.7498228309,20.5115210452,26.3188005295,22.3346259772,21.595093107,15.6816992545,13.9737366984,13.5079004972,11.6712356354,15.7933788334,17.5970048468,12.443075337,12.9356247523,12.3980945924,12.2118106666,11.9549546222,25.9618195566,27.8691839541,25.0404624457,16.7695021779,18.2843047859,18.5273895468,21.2142878485,20.6953207196,24.8317831272,19.6724001358,23.8015466507,16.2603096592,14.4190957478,13.8074461467,20.5814456131,9.74499898021,10.1339508545,11.2056735719,19.1261577717,16.7905233384,16.9774530169,16.4223971079,19.4022328936,4.29819060058,23.5738839457,22.7008264068,20.0408631084,11.8115490148,23.9343960279,21.0012844257,5.36491181128,10.5234962303,15.6853900829,22.0952993859,23.810889501,24.5706447253,22.0882366326,13.3914034926,18.663938999,18.8601828124,12.3099191441,9.81285099084,11.4017636978,14.4590011011,16.8355216435,3.09746907199,14.6213991576,15.8657550204,3.33675045768,10.7210865786,16.1816968571,7.92229000952,15.6928438147,24.3077354707,12.5904396152,26.0942050725,17.7316064243,25.2669484204,14.361612134,20.268292834,12.7696828964,17.3978131906,19.6723374196,21.2084691454,20.0417688483,6.19438519037,7.00641709189,9.83245669252,8.70436364603,6.31232067374,3.33653576052,2.21162633556,8.36069278586,13.4689414174,20.5241466135,6.45031002503,22.8191793115,22.8291755876,22.9079670062,19.5393031368,27.0327751869,18.7448978291,17.9502741292,10.2478238141,16.2427660027,10.6626991744,15.965143067,13.6673246699,0.617681734755,2.85781187817,14.7683238876,7.06138321766,11.0701553283,21.5173226381,21.7088676106,14.681106622,17.0789276363,25.8149260809,23.0562646933,14.7753955701,10.7013724038,15.979593332,20.0904281343,19.9359754521,20.9883591769,20.8996159856,18.4548884001,23.857571282,24.3464456476,8.0692233498,T155
T013,10.3544037287,2.69795152212,7.74616761548,14.0195445409,17.1921277899,14.5921829479,2.78373678929,16.4188253613,0.0,8.16202241197,4.5763485396,24.004568155,4.15499869693,10.0074875343,6.48307977593,5.17650872723,1.50920835367,23.6070261174,17.2938879331,17.8284028434,24.7925034404,29.9926150844,25.2017897965,27.6806724883,9.54773712055,24.9597407955,27.569934688,12.5034364353,13.1732202683,9.98550039977,13.8326143091,1.99151524616,7.10698015601,7.84520614515,4.71264911037,8.42622022225,3.33609047544,12.6326613542,14.3938207951,13.1986247238,11.5897502924,34.4676222653,23.122924275,25.3152637093,24.6303313148,28.4475120979,3.22294323859,27.4857931351,11.4155567845,30.4168362009,14.4718765685,8.25671001696,6.79420770451,5.88240055625,22.4485575114,10.3909127924,9.77137250219,20.5428197049,18.0692619009,26.5441270341,8.9326077618,35.8298707,10.5705411553,5.80660580943,8.0181860182,9.83443586241,14.8269747938,9.6179286784,9.58066230001,10.501217266,12.5432593081,11.1868695781,13.7126169263,6.28936019129,7.19447516059,18.1445726489,12.0628952628,0.866538719349,10.6892943781,5.02241541273,7.9775014747,20.9759611283,9.7491144134,9.77914195261,12.1291077839,3.24559557323,12.6766351817,13.6790321615,7.54719068796,28.3835406786,33.0722719839,28.8734739403,14.9672376386,11.9461172997,14.2712951147,16.2032323569,18.2308379842,18.5728359026,16.3999582295,19.4016080004,29.5339552673,12.5520291747,20.0107429604,33.7418049242,34.0379331066,10.3350972401,5.26959962697,12.9302468833,31.7973858787,25.4211866327,19.7274432209,21.5706194666,14.954113668,23.0481646286,20.0548803734,15.8420924473,14.062929221,22.6594997986,20.719711169,24.6895227633,31.0861288007,32.0795126626,24.3605173458,27.3395525442,9.42412567,6.86327914952,26.2040329823,24.5229115494,8.35268386158,5.39610887291,3.67863013821,5.05112055351,5.30294617467,2.17198730189,7.46405507861,8.03279218436,21.8592188886,T013
T012,16.3627596315,9.38572577479,6.12997496719,7.33196534775,24.3123949448,19.5402188261,8.09803469738,24.0817168265,8.16202241197,0.0,8.7719024198,29.8498516716,4.23326651111,5.77436982582,6.70550162975,4.11883057223,9.45277418216,28.5743590467,21.3115795982,22.6121536085,29.3744849847,35.4297119341,31.1183341565,34.2046533698,14.2364740983,30.8922637143,34.4944051318,6.56866390577,5.69237194895,9.57770592793,15.9038163912,6.9359288057,7.65700545001,5.21053368255,3.47035618113,4.09621118799,4.92095703996,15.6541568503,16.8072248229,16.5003594207,15.2368715347,40.3345949762,29.4258898525,32.1248417579,30.8278266505,32.7630212572,7.36479991412,32.363229631,13.5314767447,35.2605130903,21.4477742607,1.70599585573,1.39141375947,4.76211499932,27.91766232,12.0064572755,7.95485271373,27.6098825299,23.2794161645,31.6431900629,5.49702066941,40.7883540957,4.7650614687,5.17333480916,12.5175828073,10.2358962683,15.8143467065,14.3396184746,15.5948363877,15.5144363897,15.8160601637,13.0261682526,21.1624269698,10.5543803455,10.1570639344,25.3217729842,17.1570893485,8.76471862065,17.2248528805,9.01062810131,1.99868771771,25.8893858879,5.37807148173,10.9383230628,6.71422133724,9.7288705492,12.2528732068,17.7814748912,9.12972575371,32.455756701,38.1043897981,32.9480528455,21.4035753327,18.5165937299,19.5662655702,21.8836416713,24.7080016254,25.806755396,23.7032550556,25.4404864393,36.6767107254,11.9000253632,26.6721445816,38.3284780374,38.7316350537,6.57558014816,4.99827156243,6.12816993803,37.4076270928,29.3229042364,25.2307594065,25.2083184978,19.934067118,27.1334063835,24.4116943847,23.4790230954,21.957077364,27.1166643147,27.3330943034,30.9513159434,35.2774248054,36.5366367718,29.2508627942,32.1336804038,3.16325128894,5.53237205994,31.5488423597,30.8680311867,10.9711219779,4.33306751065,6.04377450116,3.14578412723,3.19308864403,5.99388193523,4.13540769066,1.8741890649,28.4037310063,T012
